study,task,method,f1_mean,f1_sd,train_seconds_mean,trainable_ratio_mean
study1,measuring_hate_speech,adapter,0.8118812376906004,0.0006721587867891,610.0408174599986,0.0130924175239096
study1,measuring_hate_speech,bitfit,0.8068492524951034,0.0003742918495801,589.2172896400007,0.0051465251989106
study1,measuring_hate_speech,full_ft,0.8147561452305476,0.0005051796353951,749.8494445799995,1.0
study1,measuring_hate_speech,ia3,0.7998398342345208,0.0004285168141894,643.5826914600009,0.00457328901931
study1,measuring_hate_speech,lora,0.8093203430649674,0.0010488909872187,707.2427008800034,0.0065325243775344
study2,finance_sentiment,adapter,0.3329770224992745,0.00218419049114255,53.84640399999917,0.0136316631826579
study2,finance_sentiment,bitfit,0.3301411949386168,0.00442140424263975,51.6681442800007,0.00536412257952665
study2,finance_sentiment,full_ft,0.7990068153025542,0.046035337255401154,54.77830481000128,1.0
study2,finance_sentiment,ia3,0.46264272836054116,0.0097053366187006,53.157244659998106,0.0047663236848842
study2,finance_sentiment,lora,0.3621915992985302,0.01883717652305875,54.20802278000046,0.00680514509589975
study2,movie_reviews,adapter,0.8911778250428926,0.0005465198120774,116.68273212999921,0.01362586261393365
study2,movie_reviews,bitfit,0.8781732775883707,0.0006828674697583,111.08975320000317,0.0053582195302865
study2,movie_reviews,full_ft,0.9031164171811541,0.0016598566447039,146.24141867999572,1.0
study2,movie_reviews,ia3,0.8650719746059256,0.0004953764411731,118.3024769300042,0.0047604734401722505
study2,movie_reviews,lora,0.8875557857077405,0.00091657326172685,136.12211274000293,0.0067993309270327
study2,news_topic,adapter,0.9307301214484502,0.0008259776192003499,405.4078916800005,0.01363746368305515
study2,news_topic,bitfit,0.9183080672683246,0.0007558487503284,390.9861604699952,0.0053700255585904
study2,news_topic,full_ft,0.947340481430777,0.0010781379757767,497.63966087999574,1.0
study2,news_topic,ia3,0.9206011859241516,0.0006423405126942,421.3492311999987,0.004772173791166699
study2,news_topic,lora,0.9262928875716487,0.0008093890581008501,471.3012709700066,0.00681095912747495
study2,product_reviews,adapter,0.5910124148070018,0.00221321220840235,709.1425158099998,0.01364326411512675
study2,product_reviews,bitfit,0.5762818922413615,0.00114455206099865,674.7465020500035,0.0053759284674790506
study2,product_reviews,full_ft,0.6084595314245983,0.00206255741858625,896.4296701600018,1.0
study2,product_reviews,ia3,0.5775469581391375,0.0010258775564594,732.8499346199969,0.0047780237590247
study2,product_reviews,lora,0.5845692136479717,0.0029387548177906503,819.7297062300029,0.0068167730217632
study2,tweet_emotion,adapter,0.1480864452143875,0.00828669447682095,48.28169633000216,0.01363746368305515
study2,tweet_emotion,bitfit,0.1428870549752804,0.0027753647599131,47.4735099499987,0.0053700255585904
study2,tweet_emotion,full_ft,0.6861975611369393,0.0340355588370097,52.743003919997136,1.0
study2,tweet_emotion,ia3,0.30229662292311804,0.01537487079214555,48.322982780003805,0.004772173791166699
study2,tweet_emotion,lora,0.1648087510878446,0.0352958275646925,51.24885197000113,0.00681095912747495
study2,tweet_hate,adapter,0.47818678838539624,0.007716655115126101,67.14516528999957,0.01362586261393365
study2,tweet_hate,bitfit,0.5258440324523206,0.00899913894357425,65.37819686999427,0.0053582195302865
study2,tweet_hate,full_ft,0.4745404951569877,0.0127416626407439,75.69151233999582,1.0
study2,tweet_hate,ia3,0.5537800606668178,0.0102489261825047,68.11850503000315,0.0047604734401722505
study2,tweet_hate,lora,0.5193424235916142,0.00709675042579675,72.43023077001271,0.0067993309270327
study2,tweet_irony,adapter,0.5593277793900797,0.021824569066140997,47.54717446999857,0.01362586261393365
study2,tweet_irony,bitfit,0.5715215432919138,0.0187528082309565,46.121624050001266,0.0053582195302865
study2,tweet_irony,full_ft,0.6685321281850769,0.02452751738543565,50.662983130005884,1.0
study2,tweet_irony,ia3,0.5784647504353,0.0170763171643241,47.18096764999791,0.0047604734401722505
study2,tweet_irony,lora,0.5493992513094127,0.02073353055303425,49.260622069996316,0.0067993309270327
study2,tweet_offensive,adapter,0.7880929187385906,0.00504240955174055,77.50733640999823,0.01362586261393365
study2,tweet_offensive,bitfit,0.7434771205648634,0.0053100623266660995,75.82525249000173,0.0053582195302865
study2,tweet_offensive,full_ft,0.8028228615521701,0.0050737014750014,88.07973655000387,1.0
study2,tweet_offensive,ia3,0.7321474213547154,0.00998202030220555,79.46563200999807,0.0047604734401722505
