analysis,method,task_blocks,mean_delta_f1_vs_full,bootstrap_95_ci_low,bootstrap_95_ci_high,median_delta_f1_vs_full,hodges_lehmann,wilcoxon_w,wilcoxon_exact_p,matched_rank_biserial,wins,losses,ties,holm_adjusted_p
legacy_13_tasks,lora,13,-0.09059582738919772,-0.19519491823195956,-0.011772136270558169,-0.02090877832287108,-0.021047593859128244,10.0,0.010498046875,-0.7802197802197802,1,12,0,0.024169921875
legacy_13_tasks,adapter,13,-0.09236955828950763,-0.20262499069771528,-0.010165989890993217,-0.01465545627051612,-0.014692699542047827,5.0,0.00244140625,-0.8901098901098901,2,11,0,0.009765625
legacy_13_tasks,ia3,13,-0.07869403140045736,-0.1550919415163206,-0.01854559615237042,-0.03091257328546082,-0.0406785341752402,10.0,0.010498046875,-0.7802197802197802,1,12,0,0.024169921875
legacy_13_tasks,bitfit,13,-0.10016688067501373,-0.20994547477441802,-0.018874699126149187,-0.02903241416245239,-0.034394324017954614,9.0,0.008056640625,-0.8021978021978022,1,12,0,0.024169921875
exclude_group_split_task_12,lora,12,-0.09769249615783249,-0.20912866141480582,-0.012519466608687012,-0.020978186090999662,-0.023743657860650996,9.0,0.01611328125,-0.7692307692307693,1,11,0,0.03662109375
exclude_group_split_task_12,adapter,12,-0.09982744585197101,-0.21783419493457531,-0.011098689310110692,-0.014692699542047827,-0.015651529762187283,3.0,0.00244140625,-0.9230769230769231,2,10,0,0.009765625
exclude_group_split_task_12,ia3,12,-0.08400884143415989,-0.1652814923843973,-0.019399481885183034,-0.03447850793034468,-0.046009996813645926,9.0,0.01611328125,-0.7692307692307693,1,11,0,0.03662109375
exclude_group_split_task_12,bitfit,12,-0.10785521300331118,-0.22507457483226362,-0.020261730622521724,-0.030605026672844593,-0.0384688601609324,8.0,0.01220703125,-0.7948717948717948,1,11,0,0.03662109375
exclude_collapse_tasks_11,lora,11,-0.019958339091495633,-0.04437716754791339,-0.00019792500373734805,-0.015560631473413578,-0.015959077220895013,10.0,0.0419921875,-0.696969696969697,1,10,0,0.0966796875
exclude_collapse_tasks_11,adapter,11,-0.017878486276160697,-0.0378745603874034,-0.005354934927964426,-0.011938592138261539,-0.011267895891920482,5.0,0.009765625,-0.8484848484848485,2,9,0,0.0390625
exclude_collapse_tasks_11,ia3,11,-0.027523398459101022,-0.04936758374146534,-0.0014273969082380968,-0.028365553856777637,-0.029234247903021954,10.0,0.0419921875,-0.696969696969697,1,10,0,0.0966796875
exclude_collapse_tasks_11,bitfit,11,-0.026363029295416552,-0.04677363251078771,-0.005350873998275098,-0.028434168169506946,-0.026838215379381525,9.0,0.0322265625,-0.7272727272727273,1,10,0,0.0966796875
strict_10_tasks,lora,10,-0.02141059278408717,-0.0476324412630566,0.0003327840209301675,-0.01823470489814233,-0.017714817862347465,9.0,0.064453125,-0.6727272727272727,1,9,0,0.146484375
strict_10_tasks,adapter,10,-0.019378844149782044,-0.041078254671021594,-0.0057283262394186765,-0.01329702420438883,-0.012226726112059938,3.0,0.009765625,-0.8909090909090909,2,8,0,0.0390625
strict_10_tasks,ia3,10,-0.028784107205408437,-0.05210852903008407,0.0001042168564107123,-0.02963906357111923,-0.032391869040926946,9.0,0.064453125,-0.6727272727272727,1,9,0,0.146484375
strict_10_tasks,bitfit,10,-0.028208642951413787,-0.04987245259892836,-0.005257357782935107,-0.02873329116597967,-0.028560389388010088,8.0,0.048828125,-0.7090909090909091,1,9,0,0.146484375
