model,method,tasks,macro_f1_mean,train_seconds_mean,trainable_ratio_mean
FacebookAI/roberta-base,adapter,9,0.5920258627790423,191.12058675999867,0.014165332187256111
FacebookAI/roberta-base,bitfit,9,0.5903354189844416,183.1193981022231,0.0055760488326888225
FacebookAI/roberta-base,full_ft,9,0.7273619817029876,229.07129827555616,1.0
FacebookAI/roberta-base,ia3,9,0.6167820888710316,196.43625016222035,0.004953735847126422
FacebookAI/roberta-base,lora,9,0.609067457443,216.52084700667055,0.007072176568666023
vinai/bertweet-base,adapter,9,0.6143317823882578,189.52275330444488,0.0130979941021411
vinai/bertweet-base,bitfit,9,0.6075467042406252,182.13094709333254,0.00515219624839099
vinai/bertweet-base,full_ft,9,0.7410096632938178,233.60937722666617,1.0
vinai/bertweet-base,ia3,9,0.6458495243885898,195.41651348666767,0.004578911368832577
vinai/bertweet-base,lora,9,0.6070955325382879,217.60260770000232,0.006538113470588067
