status,study,task,model,method,seed,run_mode,experiment_id,variant,run_signature,train_rows,validation_rows,test_rows,epochs_requested,learning_rate,class_weighting,trainer_device,train_seconds,trainable_params,total_params,trainable_parameter_ratio,test_loss,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,true_label_counts,predicted_label_counts,predicted_class_count,predicted_class_coverage,majority_prediction_rate,normalized_prediction_entropy,constant_prediction_collapse,near_constant_prediction,epochs_completed,global_step,best_validation_macro_f1
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,42,FOLLOWUP,collapse_followup_v2_full,baseline,4406b8ab9337404d5918c17c8e0c9b48534ebb06e5cc6d00cbd0eba0b665ea85,3872,484,484,2,0.0001,none,mps,47.204892667010427,1782531,125837571,0.0141653322281625,0.86022889614105225,0.60123966942148765,0.26968840566666052,0.33516174402250343,0.34313725490196062,"[61, 287, 136]","[0, 474, 10]",2,0.66666666666666663,0.97933884297520635,0.091571144639268603,False,False,2,122,0.25952380952380932
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,52,FOLLOWUP,collapse_followup_v2_full,baseline,fdab79aaa712c9bbfd05b73dc757f57116096871acfc91d746a55c1db61112fb,3872,484,484,2,0.0001,none,mps,46.294895124970935,1782531,125837571,0.0141653322281625,0.91706383228302002,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,122,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,62,FOLLOWUP,collapse_followup_v2_full,baseline,61923ac66e4ad09de2ec5964fa892be40d8f0d6798d5c2afd2fabf6160ffdb99,3872,484,484,2,0.0001,none,mps,46.180194082960952,1782531,125837571,0.0141653322281625,0.82894003391265825,0.62396694214876025,0.3301866574670827,0.37817638266068743,0.37525620004099203,"[61, 287, 136]","[0, 446, 38]",2,0.66666666666666663,0.92148760330578516,0.25042593413052022,False,False,2,122,0.31229847996315052
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,72,FOLLOWUP,collapse_followup_v2_full,baseline,d2a0f8a9e193c091b3ee898e0657e0da01539fb4e56d25c9f1c68461c7952646,3872,484,484,2,0.0001,none,mps,52.128528000030201,1782531,125837571,0.0141653322281625,0.85173326730728105,0.6074380165289256,0.28327752134431472,0.460662768031189,0.3504901960784314,"[61, 287, 136]","[0, 475, 9]",2,0.66666666666666663,0.98140495867768596,0.084215073224457301,False,True,2,122,0.26030440148087203
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,82,FOLLOWUP,collapse_followup_v2_full,baseline,cd90b9417040aec7e871f05ba2f2345b0944bbcb4e3e17d15e51c0d55ae8d562,3872,484,484,2,0.0001,none,mps,52.392196834029171,1782531,125837571,0.0141653322281625,0.92227578163146962,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,122,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,42,FOLLOWUP,collapse_followup_v2_full,baseline,25538d4abb0ab3032a9e1da6e35056de49da2b9b580478558389427578fd7e08,3872,484,484,2,0.0001,none,mps,64.66718683304498,695043,124647939,0.0055760488747431001,0.92133635282516479,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,122,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,52,FOLLOWUP,collapse_followup_v2_full,baseline,83f5baa134c5a6fb979d293d320e7bda1eada49ee7fb036d338058b54b7ed244,3872,484,484,2,0.0001,none,mps,62.223810375027824,695043,124647939,0.0055760488747431001,0.91881847381591797,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,122,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,62,FOLLOWUP,collapse_followup_v2_full,baseline,fb3c94c7a543400b05bc2b701f4690fb0a2758349b36f627924443540efdad37,3872,484,484,2,0.0001,none,mps,61.847937625017948,695043,124647939,0.0055760488747431001,0.91818916797637917,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,122,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,72,FOLLOWUP,collapse_followup_v2_full,baseline,77f8351f1472023883b1006844e5524d8df591726404ad61bddd86a0ee4150a6,3872,484,484,2,0.0001,none,mps,61.87489741697209,695043,124647939,0.0055760488747431001,0.92323982715606678,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,122,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,82,FOLLOWUP,collapse_followup_v2_full,baseline,8b2c47018b8873532121cbb5432c963ec3e32de9923515abdc15ee22cc02ecac,3872,484,484,2,0.0001,none,mps,61.730014208995271,695043,124647939,0.0055760488747431001,0.92391198873519875,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,122,0.2487046632124352
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,42,FOLLOWUP,collapse_followup_v2_full,baseline,66bdcc1abdd8d0e9368fef4e7432a4e3a3db67163337f3a8fb8a4ab9c2a29818,3257,374,1421,2,0.0001,none,mps,39.822130292013753,695812,124648708,0.0055821838121257001,1.2662888765335083,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,102,0.14981273408239701
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,52,FOLLOWUP,collapse_followup_v2_full,baseline,ce862f970480882de2fa95614708eacc5af63ae3093acfadcb8823d95298cc3b,3257,374,1421,2,0.0001,none,mps,38.662364959018305,695812,124648708,0.0055821838121257001,1.2610377073287964,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,102,0.14981273408239701
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,62,FOLLOWUP,collapse_followup_v2_full,baseline,13052f87f499a0a15788382a6e881b86f8fb26bcc301e7339cbcaa94290aeff5,3257,374,1421,2,0.0001,none,mps,39.286511333019007,695812,124648708,0.0055821838121257001,1.2641738653182983,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,102,0.14981273408239701
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,72,FOLLOWUP,collapse_followup_v2_full,baseline,36da7a860c7accf4b3ae78ff426f2cc043475b124de38a0107bfd36392910c01,3257,374,1421,2,0.0001,none,mps,40.100619916978758,695812,124648708,0.0055821838121257001,1.2668648958206177,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,102,0.14981273408239701
COMPLETE,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,82,FOLLOWUP,collapse_followup_v2_full,baseline,8f92833a2390232d211b2c28d7e2070fbd281ed44e9035bf0cdbfa882b1d4846,3257,374,1421,2,0.0001,none,mps,39.693691416992806,695812,124648708,0.0055821838121257001,1.2666910886764526,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,102,0.14981273408239701
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,42,FOLLOWUP,collapse_followup_v2_full,baseline,5e31b4cfa3ff23e80f507121dd5cba761c704e77588718469592c6fed3b6c76f,3257,374,1421,2,0.0001,none,mps,30.908185167005289,888580,135791624,0.0065437025777082001,1.2623802423477173,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,102,0.14981273408239701
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,52,FOLLOWUP,collapse_followup_v2_full,baseline,4320452584d51f4bed487d212e294cd1a2789e7bcdb9bae23ce7d835802c4128,3257,374,1421,2,0.0001,none,mps,30.752720707969271,888580,135791624,0.0065437025777082001,1.2589231729507446,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,102,0.14981273408239701
COMPLETE,study2,tweet_emotion,vinai/bertweet-base,lora,62,FOLLOWUP,collapse_followup_v2_full,baseline,1cfe717d5c4ea8988d6b3c8044536df301c18ad9f61792c1f12d5ac78280c2ac,3257,374,1421,2,0.0001,none,mps,30.403999458998442,888580,135791624,0.0065437025777082001,1.259007453918457,0.39268121041520032,0.14098029307731161,0.0981703026037999,0.25,"[558, 358, 123, 382]","[1421, 0, 0, 0]",1,0.25,1,-0,True,True,2,102,0.14981273408239701
