loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
5.407156372070313,1.8537466526031494,0.000493723849372385,0.39215686274509803,20,,,,,,,,,,,,,
4.930788803100586,16.430686950683594,0.00045188284518828456,0.7843137254901961,40,,,,,,,,,,,,,
,,,1.0,51,0.8412378430366516,0.7192513368983957,0.6444129772869112,0.6765412748171369,0.6364168690324502,0.9514,393.125,12.614,,,,,
3.568473052978516,10.402524948120117,0.00041004184100418414,1.1764705882352942,60,,,,,,,,,,,,,
2.9309396743774414,12.075515747070312,0.0003682008368200837,1.5686274509803921,80,,,,,,,,,,,,,
2.7967782974243165,6.6715850830078125,0.0003263598326359833,1.9607843137254903,100,,,,,,,,,,,,,
,,,2.0,102,0.7983927130699158,0.7379679144385026,0.6773329030470752,0.7066287878787879,0.6662258919263292,0.8659,431.903,13.858,,,,,
2.718384552001953,7.263500690460205,0.0002845188284518829,2.3529411764705883,120,,,,,,,,,,,,,
2.394590377807617,12.069090843200684,0.00024267782426778243,2.7450980392156863,140,,,,,,,,,,,,,
,,,3.0,153,0.6687184572219849,0.767379679144385,0.7221742352800473,0.7186865982976886,0.726935678707948,0.9036,413.899,13.28,,,,,
2.38739128112793,9.898592948913574,0.000200836820083682,3.1372549019607843,160,,,,,,,,,,,,,
2.320400047302246,9.462790489196777,0.00015899581589958158,3.5294117647058822,180,,,,,,,,,,,,,
2.2203289031982423,7.321013927459717,0.00011715481171548118,3.9215686274509802,200,,,,,,,,,,,,,
,,,4.0,204,0.6651924848556519,0.7754010695187166,0.7144718986135061,0.7131846910112359,0.7177048514007711,0.8822,423.935,13.602,,,,,
2.126515579223633,7.10406494140625,7.531380753138076e-05,4.313725490196078,220,,,,,,,,,,,,,
2.1995365142822267,7.997122287750244,3.3472803347280334e-05,4.705882352941177,240,,,,,,,,,,,,,
,,,5.0,255,0.6725180149078369,0.7620320855614974,0.7126055317852527,0.7072431536717251,0.725087832610746,0.8566,436.598,14.008,,,,,
,,,5.0,255,,,,,,,,,100.486,162.062,2.538,360127904352216.0,2.944491188198912
