status,study,task,model,method,seed,run_mode,experiment_id,variant,run_signature,train_rows,validation_rows,test_rows,epochs_requested,learning_rate,class_weighting,train_seconds,trainable_params,total_params,trainable_parameter_ratio,test_loss,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,true_label_counts,predicted_label_counts,predicted_class_count,predicted_class_coverage,majority_prediction_rate,normalized_prediction_entropy,constant_prediction_collapse,near_constant_prediction,epochs_completed,global_step,best_validation_macro_f1
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,42,FOLLOWUP,collapse_followup_v2_pilot,baseline,db58d6376e4424cc37e125a1f5e27b9c2e9836aa25a37e9e5317472742e72206,1024,484,484,2,0.0001,none,15.28225674998248,1782531,125837571,0.0141653322281625,0.94439768791198719,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,32,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,52,FOLLOWUP,collapse_followup_v2_pilot,baseline,22400f68ce25709a816bdcc77652027aebf88b8ace83b21973e890854943dd69,1024,484,484,2,0.0001,none,15.397148541000206,1782531,125837571,0.0141653322281625,0.94057893753051758,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,32,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,62,FOLLOWUP,collapse_followup_v2_pilot,baseline,cddde2b37b96c5e4cc809d1943a054dbb71cb5fc6d326fe9362badf25e2c15ad,1024,484,484,2,0.0001,none,15.3333710830193,1782531,125837571,0.0141653322281625,0.94201862812042236,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,32,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,72,FOLLOWUP,collapse_followup_v2_pilot,baseline,04715dd607c1b0bc7a3820eae01a96c80eb43e72acb2c13f1eeb5c2b8b00c4d0,1024,484,484,2,0.0001,none,15.556925999990201,1782531,125837571,0.0141653322281625,0.93558394908904996,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,32,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,adapter,82,FOLLOWUP,collapse_followup_v2_pilot,baseline,af967fa57cfbe3853bb09b8e677886eaa671ce8aa07479cb75f833e0786f120c,1024,484,484,2,0.0001,none,15.41556291701272,1782531,125837571,0.0141653322281625,0.93508082628250122,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,32,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,42,FOLLOWUP,collapse_followup_v2_pilot,baseline,a6760f39ece51e6ea7648f86216e3fab8d7a97b33f18a7119ec6398e5220d7d5,1024,484,484,2,0.0001,none,19.015192333026789,695043,124647939,0.0055760488747431001,0.95781034231185924,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,32,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,52,FOLLOWUP,collapse_followup_v2_pilot,baseline,a14a958f0cd681c1c49f763fe3e1775ab86bbf7129f1abdb8557546120b5a1f7,1024,484,484,2,0.0001,none,18.558828250039369,695043,124647939,0.0055760488747431001,0.94942134618759155,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,32,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,62,FOLLOWUP,collapse_followup_v2_pilot,baseline,66cccbd7c8ec7b0d7aabe135d157ccc7f727569e2723d217a47b9787b1a70b2e,1024,484,484,2,0.0001,none,18.580972041992936,695043,124647939,0.0055760488747431001,0.95719015598297119,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,32,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,72,FOLLOWUP,collapse_followup_v2_pilot,baseline,d827a12463a13deb42c9827757e0e96185889e2c45b699f94f84a9aeb5c85142,1024,484,484,2,0.0001,none,18.689279082987923,695043,124647939,0.0055760488747431001,0.94378167390823364,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,32,0.2487046632124352
COMPLETE,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,82,FOLLOWUP,collapse_followup_v2_pilot,baseline,b479bb9613e11e5fb20b7c934c0ab375b77a17d86e48e4eb3d95ddec6f39315d,1024,484,484,2,0.0001,none,18.6316000840161,695043,124647939,0.0055760488747431001,0.94207239151000965,0.59297520661157022,0.24816255944660601,0.19765840220385661,0.33333333333333331,"[61, 287, 136]","[0, 484, 0]",1,0.33333333333333331,1,-0,True,True,2,32,0.2487046632124352
