time,event,epoch,global_step,eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2026-08-07T21:04:06+09:00,log,1.0,16,1.0242871046066284,0.5950413223140496,0.24870466321243523,0.19834710743801653,0.3333333333333333,1.4516,333.435,11.023,,,,,,,,
2026-08-07T21:04:06+09:00,checkpoint,1.0,16,,,,,,,,,,,,,,,,
2026-08-07T21:04:08+09:00,log,1.25,20,,,,,,,,,4.188208770751953,2.68841290473938,0.00040666666666666667,,,,,
2026-08-07T21:04:15+09:00,log,2.0,32,0.9255166053771973,0.6590909090909091,0.4141438703140831,0.3986565512881302,0.440359477124183,1.2776,378.829,12.523,,,,,,,,
2026-08-07T21:04:15+09:00,checkpoint,2.0,32,,,,,,,,,,,,,,,,
2026-08-07T21:04:19+09:00,log,2.5,40,,,,,,,,,3.744810104370117,4.362896919250488,0.00027333333333333333,,,,,
2026-08-07T21:04:24+09:00,log,3.0,48,0.792411744594574,0.71900826446281,0.6625535945518964,0.6864045522149104,0.6542483660130719,1.2976,372.991,12.33,,,,,,,,
2026-08-07T21:04:24+09:00,checkpoint,3.0,48,,,,,,,,,,,,,,,,
2026-08-07T21:04:30+09:00,log,3.75,60,,,,,,,,,3.110157775878906,5.94944429397583,0.00014000000000000001,,,,,
2026-08-07T21:04:33+09:00,log,4.0,64,0.678883969783783,0.731404958677686,0.6810605142042928,0.6952698042926508,0.7012935729847495,1.3111,369.164,12.204,,,,,,,,
2026-08-07T21:04:33+09:00,checkpoint,4.0,64,,,,,,,,,,,,,,,,
2026-08-07T21:04:41+09:00,log,5.0,80,,,,,,,,,2.405091667175293,3.4935309886932373,6.6666666666666675e-06,,,,,
2026-08-07T21:04:42+09:00,log,5.0,80,0.6307626962661743,0.71900826446281,0.6810907059743284,0.6766004962987958,0.7046977124183007,1.3586,356.248,11.777,,,,,,,,
2026-08-07T21:04:42+09:00,checkpoint,5.0,80,,,,,,,,,,,,,,,,
2026-08-07T21:04:42+09:00,log,5.0,80,,,,,,,,,,,,45.7187,111.989,1.75,150846211301184.0,3.3620670795440675
