eval_loss,eval_accuracy,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.3154587745666504,0.4679144385026738,0.29690306611302736,0.391841162694586,0.32649517114560406,0.8339,448.488,14.39,1.0,16,,,,,,,,
,,,,,,,,1.25,20,5.406975555419922,3.1925394535064697,0.000244,,,,,
1.277701497077942,0.49732620320855614,0.30028195488721804,0.4334415584415584,0.33318190374145723,0.7735,483.522,15.514,2.0,32,,,,,,,,
,,,,,,,,2.5,40,5.171635437011719,4.88878870010376,0.00016399999999999997,,,,,
1.200292944908142,0.5294117647058824,0.33390224783490485,0.459715757552444,0.3649482726167034,0.7575,493.71,15.841,3.0,48,,,,,,,,
,,,,,,,,3.75,60,4.6342723846435545,4.170230388641357,8.4e-05,,,,,
1.0962936878204346,0.6310160427807486,0.5188041688032309,0.7113776307324694,0.5124073840413033,0.7774,481.121,15.437,4.0,64,,,,,,,,
,,,,,,,,5.0,80,4.1957965850830075,3.7300190925598145,4e-06,,,,,
1.0524218082427979,0.6524064171122995,0.5605716076470172,0.6822953802733214,0.5458165873061839,0.7714,484.833,15.556,5.0,80,,,,,,,,
,,,,,,,,5.0,80,,,,31.0526,164.881,2.576,106662198342912.0,4.852169990539551
